type_cepage,surface_ha,wine_surface_proportion,year
ALICANTE H.BOUS.N,6.262,0.7,2006
ALIGOTE B,1.929,0.2,2006
ARAMON N,3.735,0.4,2006
AUBUN N,784,0.1,2006
AUXERROIS B,2.264,0.3,2006
BACO BLANC B,893,0.1,2006
BOURBOULENC B,636,0.1,2006
CABER.SAUVIGNON N,58.940,6.7,2006
CABERNET FRANC N,37.959,4.3,2006
CALADOC N,2.356,0.3,2006
CARIGNAN B,512,0.1,2006
CARIGNAN N,64.500,7.4,2006
CHAMBOURCIN N,871,0.1,2006
CHARDONNAY B,43.112,4.9,2006
CHASAN B,894,0.1,2006
CHASSELAS B,717,0.1,2006
CHENANSON N,565,0.1,2006
CHENIN B,9.781,1.1,2006
CINSAULT N,23.347,2.7,2006
CLAIRETTE B,2.531,0.3,2006
COLOMBARD B,7.693,0.9,2006
COT N,6.394,0.7,2006
COUNOISE N,485,0.1,2006
DURAS N,998,0.1,2006
FER N,1.658,0.2,2006
FOLLE BLANCHE B,1.879,0.2,2006
GAMAY N,33.064,3.8,2006
GEWURZTRAMINER RS,2.989,0.3,2006
GR.MANSENG BLANC B,2.869,0.3,2006
GRENACHE B,5.131,0.6,2006
GRENACHE G,1.806,0.2,2006
GRENACHE N,98.191,11.2,2006
GROLLEAU G,463,0.1,2006
GROLLEAU N,2.390,0.3,2006
HYBRID.DIV.CUVE,5.151,0.6,2006
Inconnu,827,0.1,2006
JACQUERE B,1.064,0.1,2006
JURANCON NOIR N,873,0.1,2006
LEN DE L'EL B,677,0.1,2006
LLEDONER PELUT N,481,0.1,2006
MACABEU B,2.965,0.3,2006
MARSANNE B,1.295,0.1,2006
MARSELAN,1.997,0.2,2006
MAUZAC B,2.232,0.3,2006
MELON B,12.531,1.4,2006
MERLOT N,117.299,13.4,2006
MEUNIER N,11.071,1.3,2006
MOURVEDRE N,9.533,1.1,2006
MUSC.PTS.GRAINS B,7.501,0.9,2006
MUSCADELLE B,1.657,0.2,2006
MUSCAT ALEXANDR. B,2.712,0.3,2006
MUSCAT HAMBOURG N,584,0.1,2006
NEGRETTE N,1.424,0.2,2006
NIELLUCCIO N,1.647,0.2,2006
PETIT VERDOT N,799,0.1,2006
PINEAU D'AUNIS N,445,0.1,2006
PINOT BLANC B,1.238,0.1,2006
PINOT GRIS G,2.518,0.3,2006
PINOT N,28.861,3.3,2006
PIQUEPOUL B,1.390,0.2,2006
PLANTET N,1.253,0.1,2006
PT.MANSENG B,961,0.1,2006
RIESLING B,3.455,0.4,2006
ROUSSANNE B,1.233,0.1,2006
SAUVIGNON B,25.311,2.9,2006
SAVAGNIN BLANC B,458,0.1,2006
SCIACCARELLO N,768,0.1,2006
SEMILLON B,12.122,1.4,2006
SYLVANER B,1.501,0.2,2006
SYRAH N,69.698,8.0,2006
TANNAT N,3.065,0.4,2006
TEMPRANILLO N,973,0.1,2006
TERRET B,1.725,0.2,2006
TIBOUREN N,441,0.1,2006
UGNI B,83.238,9.5,2006
VERMENTINO B,3.315,0.4,2006
VILLARD N,1.488,0.2,2006
VINIFS. CUVE,2.263,0.3,2006
VIOGNIER B,3.744,0.4,2006
AUTRES,9.888,1.1,2006
ALICANTE H.BOUS.N,5509,0.6,2007
ALIGOTE B,1924,0.2,2007
ARAMON N,3165,0.4,2007
AUBUN N,690,0.1,2007
AUXERROIS B,2267,0.3,2007
BACO BLANC B,829,0.1,2007
BOURBOULENC B,611,0.1,2007
CABER.SAUVIGNON N,57481,6.7,2007
CABERNET FRANC N,37244,4.3,2007
CALADOC N,2435,0.3,2007
CARIGNAN B,451,0.1,2007
CARIGNAN N,57883,6.8,2007
CHAMBOURCIN N,782,0.1,2007
CHARDONNAY B,43671,5.1,2007
CHASAN B,847,0.1,2007
CHASSELAS B,677,0.1,2007
CHENANSON N,537,0.1,2007
CHENIN B,9764,1.1,2007
CINSAULT N,21898,2.6,2007
CLAIRETTE B,2484,0.3,2007
COLOMBARD B,7674,0.9,2007
COT N,6220,0.7,2007
COUNOISE N,464,0.1,2007
DURAS N,939,0.1,2007
FER N,1618,0.2,2007
FOLLE BLANCHE B,1831,0.2,2007
GAMAY N,31356,3.7,2007
GEWURZTRAMINER RS,3003,0.4,2007
GR.MANSENG BLANC B,2885,0.3,2007
GRENACHE B,5032,0.6,2007
GRENACHE G,1732,0.2,2007
GRENACHE N,96295,11.2,2007
GROLLEAU G,455,0.1,2007
GROLLEAU N,2352,0.3,2007
HYBRID.DIV.CUVE,4818,0.6,2007
Inconnu,775,0.1,2007
JACQUERE B,1046,0.1,2007
JURANCON NOIR N,773,0.1,2007
LEN DE L'EL B,649,0.1,2007
LLEDONER PELUT N,455,0.1,2007
MACABEU B,2742,0.3,2007
MARSANNE B,1317,0.2,2007
MARSELAN,2213,0.3,2007
MAUZAC B,2065,0.2,2007
MELON B,12424,1.5,2007
MERLOT N,116482,13.6,2007
MEUNIER N,11333,1.3,2007
MOURVEDRE N,9418,1.1,2007
MUSC.PTS.GRAINS B,7567,0.9,2007
MUSCADELLE B,1612,0.2,2007
MUSCAT ALEXANDR. B,2619,0.3,2007
MUSCAT HAMBOURG N,591,0.1,2007
NEGRETTE N,1282,0.1,2007
NIELLUCCIO N,1635,0.2,2007
PETIT VERDOT N,831,0.1,2007
PINEAU D'AUNIS N,435,0.1,2007
PINOT BLANC B,1291,0.2,2007
PINOT GRIS G,2541,0.3,2007
PINOT N,29459,3.4,2007
PIQUEPOUL B,1421,0.2,2007
PLANTET N,1141,0.1,2007
PT.MANSENG B,989,0.1,2007
RIESLING B,3447,0.4,2007
ROUSSANNE B,1285,0.1,2007
SAUVIGNON B,25835,3.0,2007
SAUVIGNON GRIS G,420,0.0,2007
SAVAGNIN BLANC B,462,0.1,2007
SCIACCARELLO N,781,0.1,2007
SEMILLON B,11839,1.4,2007
SYLVANER B,1418,0.2,2007
SYRAH N,69202,8.1,2007
TANNAT N,2956,0.3,2007
TEMPRANILLO N,850,0.1,2007
TERRET B,1556,0.2,2007
TIBOUREN N,440,0.1,2007
UGNI B,83316,9.7,2007
VERMENTINO B,3417,0.4,2007
VILLARD N,1354,0.2,2007
VINIFS. CUVE,2093,0.2,2007
VIOGNIER B,4081,0.5,2007
AUTRES,8970,1.0,2007
ALICANTE H.BOUS.N,4816,0.6,2008
ALIGOTE B,1927,0.2,2008
ARAMON N,2790,0.3,2008
AUBUN N,626,0.1,2008
AUXERROIS B,2282,0.3,2008
BACO BLANC B,770,0.1,2008
BOURBOULENC B,587,0.1,2008
CABER.SAUVIGNON N,55812,6.7,2008
CABERNET FRANC N,36690,4.4,2008
CALADOC N,2432,0.3,2008
CARIGNAN B,408,0.0,2008
CARIGNAN N,52175,6.2,2008
CHAMBOURCIN N,748,0.1,2008
CHARDONNAY B,44253,5.3,2008
CHASAN B,791,0.1,2008
CHASSELAS B,651,0.1,2008
CHENANSON N,498,0.1,2008
CHENIN B,9782,1.2,2008
CINSAULT N,20425,2.4,2008
CLAIRETTE B,2369,0.3,2008
COLOMBARD B,7732,0.9,2008
COT N,6119,0.7,2008
COUNOISE N,437,0.1,2008
DURAS N,917,0.1,2008
FER N,1593,0.2,2008
FOLLE BLANCHE B,1762,0.2,2008
GAMAY N,30286,3.6,2008
GEWURZTRAMINER RS,3037,0.4,2008
GR.MANSENG BLANC B,2896,0.3,2008
GRENACHE B,4931,0.6,2008
GRENACHE G,1683,0.2,2008
GRENACHE N,93228,11.1,2008
GROLLEAU G,452,0.1,2008
GROLLEAU N,2337,0.3,2008
HYBRID.DIV.CUVE,4639,0.6,2008
Inconnu,741,0.1,2008
JACQUERE B,1024,0.1,2008
JURANCON NOIR N,699,0.1,2008
LEN DE L'EL B,642,0.1,2008
LLEDONER PELUT N,425,0.1,2008
MACABEU B,2584,0.3,2008
MARSANNE B,1327,0.2,2008
MARSELAN,2329,0.3,2008
MAUZAC B,1978,0.2,2008
MELON B,12341,1.5,2008
MERLOT N,115296,13.7,2008
MEUNIER N,11087,1.3,2008
MOURVEDRE N,9275,1.1,2008
MUSC.PTS.GRAINS B,7547,0.9,2008
MUSCADELLE B,1589,0.2,2008
MUSCAT ALEXANDR. B,2572,0.3,2008
MUSCAT HAMBOURG N,573,0.1,2008
NEGRETTE N,1213,0.1,2008
NIELLUCCIO N,1510,0.2,2008
PETIT VERDOT N,867,0.1,2008
PINEAU D'AUNIS N,437,0.1,2008
PINOT BLANC B,1285,0.2,2008
PINOT GRIS G,2570,0.3,2008
PINOT N,29602,3.5,2008
PIQUEPOUL B,1455,0.2,2008
PLANTET N,1092,0.1,2008
PT.MANSENG B,1019,0.1,2008
RIESLING B,3461,0.4,2008
ROUSSANNE B,1336,0.2,2008
SAUVIGNON B,26476,3.2,2008
SAUVIGNON GRIS G,478,0.1,2008
SAVAGNIN BLANC B,467,0.1,2008
SCIACCARELLO N,752,0.1,2008
SEMILLON B,11671,1.4,2008
SYLVANER B,1381,0.2,2008
SYRAH N,67834,8.1,2008
TANNAT N,2873,0.3,2008
TEMPRANILLO N,755,0.1,2008
TERRET B,1428,0.2,2008
TIBOUREN N,440,0.1,2008
UGNI B,83773,10.0,2008
VERMENTINO B,3518,0.4,2008
VILLARD N,1303,0.2,2008
VINIFS. CUVE,2002,0.2,2008
VIOGNIER B,4351,0.5,2008
AUTRES,8581,1.0,2008
ALICANTE H.BOUS.N,4308,0.5,2009
ALIGOTE B,1926,0.2,2009
ARAMON N,2540,0.3,2009
AUBUN N,545,0.1,2009
AUXERROIS B,2296,0.3,2009
BACO BLANC B,725,0.1,2009
